id,type,title,area_m2,rooms,floor,price_zl,price_per_m2,street,district,city,project,lat,lon,dist_km,dist_tram,tram_name,drive_tram_km,drive_tram_name,drive_rail_km,drive_rail_name,drive_ratusz_km,url
66293361,mieszkanie,4-pokojowe mieszkanie 80m2 + balkon,80.8,4,1,,,28 czerwca 1956 r.,Dębiec,Poznań,28 czerwca 1956 r.,52.36733,16.90355,5.0,0.63,Dębiec PKM,0.69,Dębiec PKM,2.77,Poznań Górczyn,5.83,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-80m2-balkon-ID4u9WL
66707014,mieszkanie,Smardzewska 8 | mieszkanie 4-pok. | A/A/4/1.5,81.58,4,1,,,ul. Smardzewska,os. Mikołaja Kopernika,Poznań,Smardzewska 8,52.38921,16.85909,5.5,0.34,Węgorka,0.88,Rondo Skubiszewskiego,4.58,Poznań Górczyn,7.1,https://www.otodom.pl/pl/oferta/smardzewska-8-mieszkanie-4-pok-a-a-4-1-5-ID4wTxA
66293561,mieszkanie,3-pokojowe mieszkanie 81m2 + loggia Bezpośrednio,81.7,3,2,,,28 czerwca 1956 r.,Dębiec,Poznań,28 czerwca 1956 r.,52.36733,16.90355,5.0,0.63,Dębiec PKM,0.69,Dębiec PKM,2.77,Poznań Górczyn,5.83,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-81m2-loggia-bezposrednio-ID4u9YZ
67717244,mieszkanie,5-pokojowe mieszkanie 85m2 + ogródek Bez Prowizji,85.09,5,0,,,ul. Miśnieńska,Junikowo,Poznań,Junique II,52.3796,16.84101,7.0,0.62,Junikowo,1.28,Cmentarna,4.39,Poznań Górczyn,9.23,https://www.otodom.pl/pl/oferta/5-pokojowe-mieszkanie-85m2-ogrodek-bez-prowizji-ID4A8lC
67232748,mieszkanie,4-pokojowe mieszkanie 87m2 + 2 balkony,87.49,4,3,,,ul. Niedziałkowskiego,Wilda,Poznań,Vilda Arte,52.39885,16.91957,1.4,0.23,Św. Czesława,0.45,Św. Czesława,1.12,Poznań Główny,2.46,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-87m2-2-balkony-ID4y6ja
66618907,dom,Dom Kórnik Pompa ciepła Fotowoltaika dom energooszczędny,80.51,4,,489000,6074,pl. Browarowy,Kórnik,Kórnik,,52.24811,17.08378,20.5,15.87,Franowo,18.58,Szwedzka,7.26,Gądki,22.88,https://www.otodom.pl/pl/oferta/dom-kornik-pompa-ciepla-fotowoltaika-dom-energooszczedny-ID4wvCw
68061337,dom,"Dom 81 m², działka 400m2, szynobus, światłowód, sklep, szkoła, Puszcza",81,3,,509000,6284,ul. Kozakowa,Łopuchowo,Łopuchowo,,52.61476,17.09083,25.3,20.29,Błażeja,26.38,Błażeja,9.21,Murowana Goślina,31.91,https://www.otodom.pl/pl/oferta/dom-81-m-dzialka-400m2-szynobus-swiatlowod-sklep-szkola-puszcza-ID4BzRw
67370417,dom,"Blisko lasu, 600 m od Pkp, Nowe Osiedle!!!",81,3,,509000,6284,,Łopuchowo,Łopuchowo,,52.61477,17.08655,25.2,20.15,Błażeja,26.57,Błażeja,9.4,Murowana Goślina,32.1,https://www.otodom.pl/pl/oferta/blisko-lasu-600-m-od-pkp-nowe-osiedle-ID4yG7D
68147106,dom,"Dom, 120 m², Kleszczewo",120,4,,520000,4333,,Kleszczewo,Kleszczewo,,52.33355,17.16965,18.1,12.64,Franowo,19.17,Szwedzka,10.73,Swarzędz,23.47,https://www.otodom.pl/pl/oferta/dom-120-m-kleszczewo-ID4BVaS
66837817,dom,DOM w cenie mieszkania !!!,87,4,,525000,6034,,Gowarzewo,Gowarzewo,,52.36452,17.12451,13.8,8.6,Franowo,12.65,Franowo,6.04,Swarzędz,17.24,https://www.otodom.pl/pl/oferta/dom-w-cenie-mieszkania-ID4vrzj
68175558,dom,DOM w cenie mieszkania !!! Pompa Ciepła | Ogrzewanie podłogowe | Taras,87,3,,525000,6034,,Kruszewnia,Swarzędz,,52.3758,17.10503,12.2,7.1,Franowo,10.96,Franowo,4.36,Swarzędz,15.56,https://www.otodom.pl/pl/oferta/dom-w-cenie-mieszkania-pompa-ciepla-ogrzewanie-podlogowe-taras-ID4C3zM
67794707,dom,DOM w cenie mieszkania !!! Pompa Ciepła,87,3,,525000,6034,,Zalasewo,Zalasewo,,52.38865,17.07588,9.9,5.15,Franowo,7.43,Franowo,2.15,Swarzędz,12.55,https://www.otodom.pl/pl/oferta/dom-w-cenie-mieszkania-pompa-ciepla-ID4Asw1
66668798,dom,"Bezpośrednio. Dom 83,64 m². Ogród 230 m².",83.64,4,,529000,6325,,Trzek,Trzek,,52.35919,17.15173,15.8,10.54,Franowo,14.64,Franowo,8.03,Swarzędz,19.23,https://www.otodom.pl/pl/oferta/bezposrednio-dom-83-64-m-ogrod-230-m-ID4wJBc
67460485,dom,Trzek | Kameralne Osiedle | od 60m2,101.5,3,,529000,5212,Czereśniowa,Trzek,Trzek,,52.35643,17.17445,17.3,12.11,Franowo,17.65,Miłostowo,11.66,Swarzędz,24.69,https://www.otodom.pl/pl/oferta/trzek-kameralne-osiedle-od-60m2-ID4z3yl
65550966,mieszkanie,Nowe mieszkanie 4 pokojowe - dostępne od ręki,85.7,4,1,537000,6266,,Robakowo,Robakowo,,52.30962,17.07944,14.8,9.61,Franowo,12.92,Szwedzka,3.86,Gądki,17.22,https://www.otodom.pl/pl/oferta/nowe-mieszkanie-4-pokojowe-dostepne-od-reki-ID4r2NE
65050216,mieszkanie,"Mieszkanie 4-pokojowe + taras! POMPA CIEPŁA, KLIMATYZACJA",85.7,4,1,537000,6266,,Robakowo,Robakowo,,52.29594,17.06865,15.5,10.57,Franowo,13.89,Szwedzka,2.49,Gądki,18.19,https://www.otodom.pl/pl/oferta/mieszkanie-4-pokojowe-taras-pompa-ciepla-klimatyzacja-ID4oVx2
